"","ResponseId","Duration (in seconds)","party","party_4_TEXT","anes_rep","anes_dem","anes_ind","anes_ind_force","SPV_1_meta_out_2","SPV_2_meta_out_2","SPV_3_meta_out_1","SPV_4_meta_out_2","out_corr_time_Page Submit","out_cont_time_Page Submit","manip_ck_1","SPV_1_2","SPV_2_2","SPV_3_1","SPV_4_2","ESPV_1_2","ESPV_2_2","ESPV_3_1","ft_rep_1","ft_dem_1","CSV_1_1","CSV_2_1","CSV_3_1","ancodi_1","ancodi_2","ancodi_3","rep_violence_1","dem_violence_1","sd_marriage_1","sd_friend_1","sd_work_1","sd_carpool_1","YOB","Gender","race","education","polit","religious","region","employed","income","ladder","screen_reason","condition","Inparty","Outparty","IP_dup","MID_dup","gc","SPV_self","SPV_meta_out","ESPV_avg","CSV_avg","ancodi","sd_avg","ft_out","ft_in","ft_diff","out_violence","in_violence","gender","age","stren","Education","Race","SPV_meta_over"
"167","R_2Vz00yaNr2RZrho",412,1,NA,1,NA,NA,NA,68,60,70,61,20.556,NA,12,0,0,0,0,0,0,0,80,16,80,80,30,30,0,94,10,20,61,61,37,40,1980,2,"white","Bachelors",7,7,2,2,75000,5,"none","out_correct","Republican","Democrat",0,0,1,0,64.75,0,63.3333333333333,41.3333333333333,49.75,16,80,64,20,10,"Female",40,"Strong","Bachelors","white",55.45
"168","R_31nm5uCGBS8PzIr",696,2,NA,NA,2,NA,NA,35,25,30,20,NA,5.629,24,0,0,0,0,90,72,100,41,72,16,26,9,31,45,32,56,12,0,0,0,0,1999,1,"asian","Some college",3,1,3,6,225000,5,"none","out_control","Democrat","Republican",0,0,1,0,27.5,87.3333333333333,17,36,0,41,72,31,56,12,"Male",21,"Not strong","Some college","asian",17.2
"169","R_1jqvzIS9ncWsELZ",268,2,NA,NA,1,NA,NA,71,90,38,28,12.702,NA,9,10,11,11,15,13,33,4,5,51,5,7,7,0,16,11,19,1,20,28,47,18,1995,2,"white","Bachelors",1,1,3,4,5000,8,"none","out_correct","Democrat","Republican",0,0,1,11.75,56.75,16.6666666666667,6.33333333333333,9,28.25,5,51,46,19,1,"Female",25,"Strong","Bachelors","white",46.45
"170","R_2QYAtzh0LSUdvSn",970,2,NA,NA,1,NA,NA,83,82,84,91,4.787,NA,78,8,0,9,6,3,3,4,2,51,50,51,51,59,64,65,34,2,96,71,96,26,1989,2,"white","Bachelors",1,1,2,1,55000,6,"none","out_correct","Democrat","Republican",0,0,1,5.75,85,3.33333333333333,50.6666666666667,62.6666666666667,72.25,2,51,49,34,2,"Female",31,"Strong","Bachelors","white",74.7
"171","R_3NKb1dQBYOC033n",162,2,NA,NA,1,NA,NA,13,16,16,13,NA,2.986,10,0,0,0,0,7,5,0,12,89,10,8,9,44,56,47,14,5,52,82,56,51,1995,2,"asian","Bachelors",2,1,4,1,55000,5,"none","out_control","Democrat","Republican",0,0,1,0,14.5,4,9,49,60.25,12,89,77,14,5,"Female",25,"Strong","Bachelors","asian",4.2
"172","R_22V3OtesLcWpqnp",705,1,NA,1,NA,NA,NA,65,100,86,61,NA,5.69,81,0,0,0,0,0,0,0,93,47,83,80,82,20,21,20,7,65,30,17,0,10,1989,2,"white","Some college",6,7,3,7,85000,5,"none","out_control","Republican","Democrat",0,0,1,0,78,0,81.6666666666667,20.3333333333333,14.25,47,93,46,65,7,"Female",31,"Strong","Some college","white",68.7
"173","R_21HWeVE1mllDyr4",267,2,NA,NA,1,NA,NA,73,75,80,65,NA,6.605,75,35,25,15,20,60,58,40,0,60,61,55,48,80,80,100,65,10,44,44,35,40,1994,1,"white","Some college",2,1,4,6,45000,6,"none","out_control","Democrat","Republican",0,0,1,23.75,73.25,52.6666666666667,54.6666666666667,86.6666666666667,40.75,0,60,60,65,10,"Male",26,"Strong","Some college","white",62.95
"174","R_Y66wFqegufkcU4p",224,1,NA,1,NA,NA,NA,100,100,100,100,NA,4.515,100,0,0,0,0,16,19,29,93,0,75,61,69,16,100,100,0,71,80,51,51,51,1986,1,"asian","Graduate",6,5,1,1,225000,4,"none","out_control","Republican","Democrat",0,0,1,0,100,21.3333333333333,68.3333333333333,72,58.25,0,93,93,71,0,"Male",34,"Strong","Graduate","asian",90.7
"175","R_eqzDMsnsTfYO9pL",312,2,NA,NA,1,NA,NA,0,0,0,0,40.866,NA,9,0,0,0,0,0,0,0,5,51,100,100,100,54,51,90,13,0,0,0,0,0,1977,2,"black","Some college",2,6,3,1,55000,4,"none","out_correct","Democrat","Republican",0,0,1,0,0,0,100,65,0,5,51,46,13,0,"Female",43,"Strong","Some college","black",-10.3
"176","R_DRVB8VaYKnn8IF3",410,1,NA,1,NA,NA,NA,24,9,9,5,NA,17.172,9,0,0,0,0,0,0,0,82,15,50,50,50,30,37,35,1,19,51,40,8,0,1962,2,"white","Some college",6,1,3,2,25000,7,"none","out_control","Republican","Democrat",0,0,1,0,11.75,0,50,34,24.75,15,82,67,19,1,"Female",58,"Strong","Some college","white",2.45
"177","R_1eypHAtdfBMNkbg",505,1,NA,1,NA,NA,NA,76,95,79,83,48.351,NA,63,27,64,21,70,42,21,59,90,9,58,58,61,68,74,95,60,100,32,21,31,20,1986,1,"white","Bachelors",7,6,4,1,75000,8,"none","out_correct","Republican","Democrat",0,0,1,45.5,83.25,40.6666666666667,59,79,26,9,90,81,100,60,"Male",34,"Strong","Bachelors","white",73.95
"178","R_338gheyb5KXjXHf",380,1,NA,1,NA,NA,NA,37,34,71,79,27.581,NA,4,0,0,0,0,0,1,0,83,50,81,82,100,53,52,52,10,20,52,25,22,16,1975,2,"white","HS or less",7,5,3,2,25000,8,"none","out_correct","Republican","Democrat",0,0,1,0,55.25,0.333333333333333,87.6666666666667,52.3333333333333,28.75,50,83,33,20,10,"Female",45,"Strong","HS or less","white",45.95
"179","R_31uOlKF7RsNV2WY",320,2,NA,NA,1,NA,NA,13,61,10,20,NA,8.401,26,0,0,0,0,91,20,14,5,35,50,50,50,70,30,0,61,0,35,29,30,8,1998,1,"white","Some college",2,1,3,6,225000,5,"none","out_control","Democrat","Republican",0,0,1,0,26,41.6666666666667,50,33.3333333333333,25.5,5,35,30,61,0,"Male",22,"Strong","Some college","white",15.7
"180","R_3JeCEXqug28YoB9",495,2,NA,NA,1,NA,NA,71,72,71,91,30.263,NA,17,0,0,1,0,1,1,0,4,84,61,59,51,51,61,82,20,0,9,8,10,18,1967,2,"white","Some college",2,1,4,3,85000,6,"none","out_correct","Democrat","Republican",0,0,1,0.25,76.25,0.666666666666667,57,64.6666666666667,11.25,4,84,80,20,0,"Female",53,"Strong","Some college","white",65.95
"181","R_3KCvL2LAjf10F6X",446,1,NA,1,NA,NA,NA,0,5,0,0,22.301,NA,20,0,5,0,0,30,0,0,90,16,53,50,50,25,25,25,0,70,10,5,0,10,1990,2,"white","Some college",6,6,1,1,25000,8,"none","out_correct","Republican","Democrat",0,0,1,1.25,1.25,10,51,25,6.25,16,90,74,70,0,"Female",30,"Strong","Some college","white",-8.05
"182","R_4SeZEZ0lYUvVIcN",341,1,NA,1,NA,NA,NA,43,59,73,78,NA,12.368,65,1,0,1,3,0,0,0,86,30,24,24,28,51,68,68,5,64,44,17,21,22,1072,2,"white","Graduate",6,5,1,7,112500,4,"none","out_control","Republican","Democrat",0,0,1,1.25,63.25,0,25.3333333333333,62.3333333333333,26,30,86,56,64,5,"Female",948,"Strong","Graduate","white",53.95
"183","R_2QKabIG8Or3qtV6",583,2,NA,NA,1,NA,NA,50,30,20,25,38.182,NA,10,8,3,1,3,10,2,1,5,65,60,60,60,75,75,75,60,5,50,42,40,40,1978,1,"white","Bachelors",2,1,3,1,150000,6,"none","out_correct","Democrat","Republican",0,0,1,3.75,31.25,4.33333333333333,60,75,43,5,65,60,60,5,"Male",42,"Strong","Bachelors","white",20.95
"184","R_77EsAlyXkrmr7fb",1474,2,NA,NA,1,NA,NA,61,21,55,30,401.773,NA,20,30,4,30,19,82,25,70,10,90,61,52,55,61,55,91,30,5,100,91,61,20,1985,2,"black","Bachelors",2,3,2,2,65000,7,"none","out_correct","Democrat","Republican",0,0,1,20.75,41.75,59,56,69,68,10,90,80,30,5,"Female",35,"Strong","Bachelors","black",31.45
"185","R_BxNJRNlnOz9ggqR",389,1,NA,1,NA,NA,NA,21,91,16,60,27.777,NA,4,0,4,0,1,1,4,1,100,71,1,1,0,2,51,29,0,1,30,0,0,0,1981,2,"white","Bachelors",7,7,3,1,55000,6,"none","out_correct","Republican","Democrat",0,0,1,1.25,47,2,0.666666666666667,27.3333333333333,7.5,71,100,29,1,0,"Female",39,"Strong","Bachelors","white",37.7
"186","R_3EQHemHFgvqvwSd",469,2,NA,NA,1,NA,NA,0,0,0,0,NA,17.444,0,0,0,0,0,0,0,0,15,70,43,45,45,38,36,37,7,0,75,65,35,43,1956,2,"white","Graduate",2,1,3,5,112500,3,"none","out_control","Democrat","Republican",0,0,1,0,0,0,44.3333333333333,37,54.5,15,70,55,7,0,"Female",64,"Strong","Graduate","white",-10.3
"187","R_2WA7H8F01iWA0et",533,2,NA,NA,1,NA,NA,44,43,32,22,27.682,NA,32,0,0,0,0,0,0,0,40,81,50,50,50,0,7,0,10,5,0,0,0,0,1978,1,"white","Bachelors",1,1,4,1,45000,8,"none","out_correct","Democrat","Republican",0,0,1,0,35.25,0,50,2.33333333333333,0,40,81,41,10,5,"Male",42,"Strong","Bachelors","white",24.95
"188","R_3pi0M7GuEhvnMP9",746,2,NA,NA,1,NA,NA,0,19,5,0,25.809,NA,10,42,50,47,46,45,100,61,40,72,67,64,62,0,37,0,56,48,32,32,28,37,1986,1,"black","Bachelors",3,4,3,4,15000,6,"none","out_correct","Democrat","Republican",0,0,1,46.25,6,68.6666666666667,64.3333333333333,12.3333333333333,32.25,40,72,32,56,48,"Male",34,"Strong","Bachelors","black",-4.3
"189","R_Wd0g9ANMg0vCkql",434,2,NA,NA,1,NA,NA,82,74,79,68,NA,6.176,82,9,21,17,6,15,21,23,19,100,26,26,26,79,71,76,100,5,100,100,30,42,43,2,"black","Some college",1,1,4,1,45000,8,"none","out_control","Democrat","Republican",0,0,1,13.25,75.75,19.6666666666667,26,75.3333333333333,68,19,100,81,100,5,"Female",43,"Strong","Some college","black",65.45
"190","R_3GivkB2UQiFtxzM",863,1,NA,2,NA,NA,NA,29,64,20,15,NA,44.75,32,62,71,78,55,63,17,38,88,8,73,84,70,32,8,67,30,72,41,62,32,41,1986,1,"white","HS or less",6,3,4,8,15000,5,"none","out_control","Republican","Democrat",0,0,1,66.5,32,39.3333333333333,75.6666666666667,35.6666666666667,44,8,88,80,72,30,"Male",34,"Not strong","HS or less","white",22.7
"191","R_3xap6ZRuPW7Xgl3",644,1,NA,2,NA,NA,NA,20,40,40,29,NA,13.382,40,0,0,0,10,0,0,10,65,0,80,60,55,60,60,50,10,100,0,0,0,0,1981,1,"white","Some college",4,2,3,2,25000,8,"none","out_control","Republican","Democrat",0,0,1,2.5,32.25,3.33333333333333,65,56.6666666666667,0,0,65,65,100,10,"Male",39,"Not strong","Some college","white",22.95
"192","R_3JyO1MI5xGWwhED",639,1,NA,2,NA,NA,NA,77,92,73,51,45.66,NA,7,0,0,0,29,0,0,0,92,0,50,51,51,70,70,71,90,100,91,91,91,91,1948,2,"white","Some college",7,6,4,5,25000,9,"none","out_correct","Republican","Democrat",0,0,1,7.25,73.25,0,50.6666666666667,70.3333333333333,91,0,92,92,100,90,"Female",72,"Not strong","Some college","white",63.95
"193","R_2sZuA6FjmfRHBWw",459,1,NA,1,NA,NA,NA,100,95,91,91,29.201,NA,9,0,0,0,0,0,0,0,95,60,60,60,51,0,60,5,0,25,0,0,0,0,2000,1,"white","Some college",6,2,4,6,95000,5,"none","out_correct","Republican","Democrat",0,0,1,0,94.25,0,57,21.6666666666667,0,60,95,35,25,0,"Male",20,"Strong","Some college","white",84.95
"194","R_2YxO0UVk7Pfklmt",306,2,NA,NA,1,NA,NA,90,99,100,90,NA,7.497,100,0,0,0,0,57,0,0,0,86,98,93,97,71,100,83,100,0,56,75,88,100,1980,1,"black","Bachelors",3,4,4,1,75000,5,"none","out_control","Democrat","Republican",0,0,1,0,94.75,19,96,84.6666666666667,79.75,0,86,86,100,0,"Male",40,"Strong","Bachelors","black",84.45
"195","R_2pVx3V4QM81UEPz",780,1,NA,1,NA,NA,NA,93,94,100,100,44.117,NA,18,0,1,0,0,0,1,1,55,25,50,61,52,62,65,100,10,100,19,0,0,0,1985,2,"white","Some college",7,7,3,2,55000,7,"none","out_correct","Republican","Democrat",0,0,1,0.25,96.75,0.666666666666667,54.3333333333333,75.6666666666667,4.75,25,55,30,100,10,"Female",35,"Strong","Some college","white",87.45
"196","R_2bPlbHSoYT9UqbV",982,1,NA,1,NA,NA,NA,15,10,44,14,15.402,NA,17,6,3,0,9,17,15,7,100,0,100,100,100,100,97,93,0,68,100,80,25,35,1968,2,"white","Bachelors",7,5,2,1,95000,6,"none","out_correct","Republican","Democrat",0,0,1,4.5,20.75,13,100,96.6666666666667,60,0,100,100,68,0,"Female",52,"Strong","Bachelors","white",11.45
"197","R_1rOZ8FQb8XpUSFy",412,1,NA,1,NA,NA,NA,100,70,80,90,42.605,NA,94,10,10,10,0,10,0,10,50,50,70,70,70,0,0,0,0,100,100,51,50,50,1954,1,"white","Bachelors",7,7,3,1,112500,4,"none","out_correct","Republican","Democrat",0,0,1,7.5,85,6.66666666666667,70,0,62.75,50,50,0,100,0,"Male",66,"Strong","Bachelors","white",75.7
"198","R_2zNFUKv5IdvtzeW",278,2,NA,NA,1,NA,NA,30,30,40,45,NA,8.376,30,10,20,25,10,40,60,60,30,80,55,55,55,80,70,70,40,20,65,10,30,50,1991,1,"white","Bachelors",2,1,1,1,55000,8,"none","out_control","Democrat","Republican",0,0,1,16.25,36.25,53.3333333333333,55,73.3333333333333,38.75,30,80,50,40,20,"Male",29,"Strong","Bachelors","white",25.95
"199","R_2zdsfGGgcLiizoT",653,1,NA,1,NA,NA,NA,100,95,100,90,NA,12.227,96,0,0,0,0,0,0,0,91,2,100,100,100,0,0,0,0,99,0,0,0,0,1959,1,"white","Bachelors",6,6,4,4,5000,9,"none","out_control","Republican","Democrat",0,0,1,0,96.25,0,100,0,0,2,91,89,99,0,"Male",61,"Strong","Bachelors","white",86.95
"200","R_2dyET6HllIbMbbe",662,1,NA,1,NA,NA,NA,30,20,40,30,28.968,NA,9,0,0,0,0,0,0,0,71,30,55,54,55,9,3,69,0,100,50,0,0,0,1960,2,"white","Bachelors",6,2,3,8,45000,5,"none","out_correct","Republican","Democrat",0,0,1,0,30,0,54.6666666666667,27,12.5,30,71,41,100,0,"Female",60,"Strong","Bachelors","white",20.7
"201","R_2TKO680trGtU8qG",343,2,NA,NA,1,NA,NA,72,61,60,65,NA,6.389,64,0,0,0,1,0,0,0,23,75,60,51,49,58,41,77,72,0,51,19,20,24,1986,2,"white","Bachelors",1,1,1,4,25000,6,"none","out_control","Democrat","Republican",0,0,1,0.25,64.5,0,53.3333333333333,58.6666666666667,28.5,23,75,52,72,0,"Female",34,"Strong","Bachelors","white",54.2
"202","R_1dnoWgu4bYROMpY",733,1,NA,1,NA,NA,NA,76,83,76,86,NA,10.495,81,20,16,52,52,26,21,36,69,2,52,40,53,8,52,9,38,24,79,68,76,66,1991,2,"white","Some college",6,6,2,1,95000,5,"none","out_control","Republican","Democrat",0,0,1,35,80.25,27.6666666666667,48.3333333333333,23,72.25,2,69,67,24,38,"Female",29,"Strong","Some college","white",70.95
"203","R_1HScs92uLA8dLm9",409,2,NA,NA,1,NA,NA,100,93,76,67,27.266,NA,69,0,0,0,0,0,0,0,2,85,51,51,51,4,82,89,0,0,9,2,93,61,1984,1,"black","HS or less",1,4,2,4,45000,9,"none","out_correct","Democrat","Republican",0,0,1,0,84,0,51,58.3333333333333,41.25,2,85,83,0,0,"Male",36,"Strong","HS or less","black",73.7
"204","R_WxLBVS6GNEbFItj",284,2,NA,NA,1,NA,NA,86,80,77,76,10.651,NA,29,0,0,0,0,0,0,0,0,40,62,59,69,0,0,0,70,0,100,100,75,80,1990,1,"hispanic","Graduate",1,1,3,7,35000,8,"none","out_correct","Democrat","Republican",0,0,1,0,79.75,0,63.3333333333333,0,88.75,0,40,40,70,0,"Male",30,"Strong","Graduate","hispanic",69.45
"205","R_eFZKCttQhFoL0lP",318,2,NA,NA,1,NA,NA,90,50,25,25,NA,17.802,20,0,0,0,0,0,0,0,5,70,50,50,50,24,10,25,50,5,10,12,10,10,1979,2,"white","Bachelors",2,2,4,1,150000,6,"none","out_control","Democrat","Republican",0,0,1,0,47.5,0,50,19.6666666666667,10.5,5,70,65,50,5,"Female",41,"Strong","Bachelors","white",37.2
"206","R_1DTCMT8Jj6oejnn",217,1,NA,1,NA,NA,NA,100,100,100,100,24.504,NA,7,5,0,0,0,50,66,50,100,0,78,73,63,100,100,100,0,100,100,100,100,100,1982,2,"white","Some college",7,7,3,1,75000,9,"none","out_correct","Republican","Democrat",0,0,1,1.25,100,55.3333333333333,71.3333333333333,100,100,0,100,100,100,0,"Female",38,"Strong","Some college","white",90.7
"207","R_2aQSjVxQt1WslPx",2513,1,NA,1,NA,NA,NA,0,0,0,0,NA,6.848,88,0,0,0,0,0,0,0,88,55,0,0,0,43,39,33,0,68,18,7,4,12,1986,2,"white","Some college",7,6,1,7,75000,5,"none","out_control","Republican","Democrat",0,0,1,0,0,0,0,38.3333333333333,10.25,55,88,33,68,0,"Female",34,"Strong","Some college","white",-9.3
"208","R_Ycap1dvgVMm53wJ",656,1,NA,1,NA,NA,NA,93,87,100,100,NA,21.099,85,71,0,20,30,68,0,23,100,0,65,73,81,100,82,100,18,94,100,82,59,80,1988,2,"white","Bachelors",7,6,3,1,35000,7,"none","out_control","Republican","Democrat",0,0,1,30.25,95,30.3333333333333,73,94,80.25,0,100,100,94,18,"Female",32,"Strong","Bachelors","white",85.7
"209","R_8jMjj2FcHiASaGd",702,2,NA,NA,2,NA,NA,73,78,70,76,77.364,NA,10,0,0,0,0,1,0,1,48,100,47,48,52,0,50,0,59,0,0,0,0,0,1973,1,"white","Some college",4,1,4,1,45000,9,"none","out_correct","Democrat","Republican",0,0,1,0,74.25,0.666666666666667,49,16.6666666666667,0,48,100,52,59,0,"Male",47,"Not strong","Some college","white",63.95
"210","R_3R1k2KbnKabZ37D",311,2,NA,NA,1,NA,NA,62,67,58,62,15.753,NA,13,0,0,0,0,0,0,0,13,77,50,50,50,21,8,37,57,1,26,8,0,11,1970,2,"asian","Bachelors",2,1,1,1,75000,5,"none","out_correct","Democrat","Republican",0,0,1,0,62.25,0,50,22,11.25,13,77,64,57,1,"Female",50,"Strong","Bachelors","asian",51.95
"211","R_3qHVXrnMBaMHoDI",488,2,NA,NA,1,NA,NA,45,38,36,43,17.913,NA,8,1,0,5,0,53,2,19,16,85,57,50,51,83,79,90,59,0,78,71,15,28,1992,2,"white","Graduate",2,1,3,1,95000,4,"none","out_correct","Democrat","Republican",0,0,1,1.5,40.5,24.6666666666667,52.6666666666667,84,48,16,85,69,59,0,"Female",28,"Strong","Graduate","white",30.2
"212","R_ZE7ps7xlV7c3sXL",591,2,NA,NA,1,NA,NA,30,30,20,15,49.101,NA,15,0,0,0,0,30,0,10,10,90,0,0,0,50,80,30,20,0,50,30,10,20,1977,1,"white","Bachelors",1,1,3,4,25000,7,"none","out_correct","Democrat","Republican",0,0,1,0,23.75,13.3333333333333,0,53.3333333333333,27.5,10,90,80,20,0,"Male",43,"Strong","Bachelors","white",13.45
"213","R_3HCFfkfwB2KsMsu",261,2,NA,NA,1,NA,NA,62,70,60,56,NA,11.5,59,11,9,9,3,10,6,6,1,87,52,52,53,85,91,92,58,2,91,90,80,87,1988,2,"white","Bachelors",1,1,4,1,35000,5,"none","out_control","Democrat","Republican",0,0,1,8,62,7.33333333333333,52.3333333333333,89.3333333333333,87,1,87,86,58,2,"Female",32,"Strong","Bachelors","white",51.7
"214","R_1EgGVWYeZCmsxUe",716,2,NA,NA,1,NA,NA,29,34,3,3,41.626,NA,15,0,0,1,0,0,0,0,15,85,0,0,0,60,60,75,8,0,6,33,51,71,1955,2,"white","Some college",2,5,2,8,95000,7,"none","out_correct","Democrat","Republican",0,0,1,0.25,17.25,0,0,65,40.25,15,85,70,8,0,"Female",65,"Strong","Some college","white",6.95
"215","R_22nowxPomBWu8vq",681,1,NA,1,NA,NA,NA,10,0,30,51,52.907,NA,14,0,0,0,0,0,0,0,82,81,50,50,50,0,0,0,0,0,0,0,0,0,1951,2,"white","Some college",6,7,3,5,15000,7,"none","out_correct","Republican","Democrat",0,0,1,0,22.75,0,50,0,0,81,82,1,0,0,"Female",69,"Strong","Some college","white",13.45
"216","R_xayEOR42pVj8kkV",354,1,NA,1,NA,NA,NA,70,60,60,80,22.908,NA,40,0,0,0,0,0,0,0,70,30,55,45,40,10,10,20,0,100,60,30,10,0,1986,2,"white","Graduate",6,6,3,1,225000,3,"none","out_correct","Republican","Democrat",0,0,1,0,67.5,0,46.6666666666667,13.3333333333333,25,30,70,40,100,0,"Female",34,"Strong","Graduate","white",58.2
"217","R_2SplrPhglm4mEGK",303,2,NA,NA,1,NA,NA,50,60,30,40,NA,12.189,25,30,10,5,5,75,25,15,0,80,70,55,52,0,0,0,33,2,95,70,95,75,1991,1,"white","Bachelors",1,1,3,4,25000,7,"none","out_control","Democrat","Republican",0,0,1,12.5,45,38.3333333333333,59,0,83.75,0,80,80,33,2,"Male",29,"Strong","Bachelors","white",34.7
"218","R_2aOCIIwvCi70Zxp",608,1,NA,1,NA,NA,NA,88,81,90,90,40.896,NA,69,0,0,0,0,0,0,0,91,82,0,0,0,75,0,0,6,69,10,0,0,0,1972,2,"white","Some college",6,5,3,1,65000,7,"none","out_correct","Republican","Democrat",0,0,1,0,87.25,0,0,25,2.5,82,91,9,69,6,"Female",48,"Strong","Some college","white",77.95
"219","R_r0Sw2dYYaD782aJ",442,1,NA,1,NA,NA,NA,60,20,35,30,NA,11.197,35,10,0,0,0,10,0,10,90,60,10,10,10,30,21,60,16,80,0,0,0,0,1959,2,"white","Bachelors",6,7,4,4,75000,7,"none","out_control","Republican","Democrat",0,0,1,2.5,36.25,6.66666666666667,10,37,0,60,90,30,80,16,"Female",61,"Strong","Bachelors","white",26.95
"220","R_DUny7FmAT3oyG89",388,2,NA,NA,1,NA,NA,12,13,10,10,NA,15.596,10,0,0,0,0,0,0,0,5,75,52,52,50,75,15,15,15,5,20,10,5,0,1983,1,"white","Bachelors",2,1,3,1,112500,3,"none","out_control","Democrat","Republican",0,0,1,0,11.25,0,51.3333333333333,35,8.75,5,75,70,15,5,"Male",37,"Strong","Bachelors","white",0.949999999999999
"221","R_5At1h2oCZPkGuhb",375,1,NA,1,NA,NA,NA,65,55,45,75,11.157,NA,53,0,0,0,0,0,0,0,65,35,50,50,50,50,50,50,10,100,20,30,20,40,1990,1,"white","Bachelors",5,6,3,4,15000,8,"none","out_correct","Republican","Democrat",0,0,1,0,60,0,50,50,27.5,35,65,30,100,10,"Male",30,"Strong","Bachelors","white",50.7
"222","R_1Dr88uRMPW2AfdE",527,2,NA,NA,1,NA,NA,75,70,51,60,17.892,NA,11,0,0,0,0,10,4,5,0,67,74,70,70,87,91,85,51,9,72,67,46,53,1993,2,"white","Bachelors",2,3,2,1,55000,5,"none","out_correct","Democrat","Republican",0,0,1,0,64,6.33333333333333,71.3333333333333,87.6666666666667,59.5,0,67,67,51,9,"Female",27,"Strong","Bachelors","white",53.7
"223","R_2trpAowVmAS24An",511,1,NA,1,NA,NA,NA,1,2,1,1,NA,39.937,0,0,0,0,0,0,0,0,100,0,51,51,51,51,51,51,100,100,0,0,0,0,57,2,"white","Some college",7,4,3,7,25000,9,"none","out_control","Republican","Democrat",0,0,1,0,1.25,0,51,51,0,0,100,100,100,100,"Female",57,"Strong","Some college","white",-8.05
"224","R_1YcNgx2isJPBabT",496,1,NA,2,NA,NA,NA,60,80,40,60,23.019,NA,40,0,0,0,0,10,0,0,51,0,51,52,50,60,100,71,20,100,70,45,40,40,1968,1,"white","Bachelors",7,7,2,1,45000,6,"none","out_correct","Republican","Democrat",0,0,1,0,60,3.33333333333333,51,77,48.75,0,51,51,100,20,"Male",52,"Not strong","Bachelors","white",50.7
"225","R_3hs96iSaHVci8tR",291,1,NA,1,NA,NA,NA,98,97,95,99,NA,23.667,94,2,1,89,99,98,92,100,85,1,98,81,91,99,100,100,83,2,1,1,0,1,1990,2,"white","Bachelors",6,5,4,1,75000,4,"none","out_control","Republican","Democrat",0,0,1,47.75,97.25,96.6666666666667,90,99.6666666666667,0.75,1,85,84,2,83,"Female",30,"Strong","Bachelors","white",87.95
"226","R_3EsVFOF1C9iO40e",378,2,NA,NA,1,NA,NA,19,28,20,24,20.641,NA,8,2,1,2,1,13,3,0,19,88,43,86,42,9,9,7,20,1,11,1,3,7,1992,2,"white","Bachelors",1,1,4,2,35000,6,"none","out_correct","Democrat","Republican",0,0,1,1.5,22.75,5.33333333333333,57,8.33333333333333,5.5,19,88,69,20,1,"Female",28,"Strong","Bachelors","white",12.45
"227","R_1dmnh3VF86n9v5l",1320,1,NA,2,NA,NA,NA,15,17,20,24,NA,8.248,14,7,5,4,6,6,8,5,71,45,7,8,4,41,41,38,13,15,45,49,40,49,1985,1,"white","Graduate",5,5,3,2,75000,5,"none","out_control","Republican","Democrat",0,0,1,5.5,19,6.33333333333333,6.33333333333333,40,45.75,45,71,26,15,13,"Male",35,"Not strong","Graduate","white",9.7
"228","R_3qVBy2GqLkG5l3i",426,1,NA,1,NA,NA,NA,100,100,100,100,21.453,NA,100,0,0,0,0,0,0,0,100,0,100,100,100,100,100,100,0,100,100,100,100,100,1994,1,"black","Graduate",7,7,1,1,150000,4,"none","out_correct","Republican","Democrat",0,0,1,0,100,0,100,100,100,0,100,100,100,0,"Male",26,"Strong","Graduate","black",90.7
"229","R_1r15PWzVQY8GVe5",454,1,NA,1,NA,NA,NA,81,81,80,79,38.689,NA,81,19,19,19,18,6,0,14,94,0,100,100,100,27,8,7,50,71,0,0,0,0,1946,2,"white","Graduate",7,6,3,5,35000,3,"none","out_correct","Republican","Democrat",0,0,1,18.75,80.25,6.66666666666667,100,14,0,0,94,94,71,50,"Female",74,"Strong","Graduate","white",70.95
"230","R_Xh4sREFiPRFvkml",623,2,NA,NA,2,NA,NA,0,20,30,30,171.501,NA,5,5,5,0,0,5,5,0,65,80,51,51,49,50,50,45,25,5,0,0,0,0,1990,2,"white","Bachelors",3,3,3,1,75000,6,"none","out_correct","Democrat","Republican",0,0,1,2.5,20,3.33333333333333,50.3333333333333,48.3333333333333,0,65,80,15,25,5,"Female",30,"Not strong","Bachelors","white",9.7
"231","R_2R8j5OPajriEHTe",3044,2,NA,NA,1,NA,NA,13,18,10,8,3.298,NA,8,0,0,0,0,0,0,0,28,100,50,50,50,15,45,36,6,0,38,39,0,4,1991,2,"white","Graduate",1,1,2,1,95000,4,"none","out_correct","Democrat","Republican",0,0,1,0,12.25,0,50,32,20.25,28,100,72,6,0,"Female",29,"Strong","Graduate","white",1.95
"232","R_Z1uJ5nZhJAUnitr",275,2,NA,NA,1,NA,NA,48,47,51,51,8.084,NA,10,0,0,0,0,4,0,0,29,74,59,53,55,38,31,33,22,5,34,47,24,17,1992,2,"white","Graduate",1,1,1,1,55000,6,"none","out_correct","Democrat","Republican",0,0,1,0,49.25,1.33333333333333,55.6666666666667,34,30.5,29,74,45,22,5,"Female",28,"Strong","Graduate","white",38.95
